Date,AAPL,GOOGL,META,MSFT,NVDA
2023-09-20,173.9849853515625,132.9427032470703,298.03497314453125,316.5272521972656,42.21649932861328
2023-09-21,172.4383544921875,129.662353515625,294.116455078125,315.3036804199219,40.995147705078125
2023-09-22,173.2909698486328,129.4735107421875,297.4482116699219,312.8170471191406,41.587833404541016
2023-09-25,174.56993103027344,130.328369140625,299.1886291503906,313.3399658203125,42.19950866699219
2023-09-26,170.4852752685547,127.80351257324219,297.328857421875,308.01141357421875,41.888675689697266
2023-09-27,168.96836853027344,129.7617645263672,296.115478515625,308.65277099609375,42.44537353515625
2023-09-28,169.22616577148438,131.52122497558594,302.30157470703125,309.4915771484375,43.06604766845703
2023-09-29,169.74169921875,130.07986450195312,298.5719909667969,311.5736999511719,43.475830078125
2023-10-02,172.25990295410156,133.3701171875,305.14593505859375,317.54364013671875,44.75814437866211
2023-10-03,170.92147827148438,131.6405029296875,299.2980651855469,309.2449035644531,43.49381637573242
2023-10-04,172.17068481445312,134.43377685546875,303.9126892089844,314.7412109375,44.017539978027344
2023-10-05,173.4099578857422,134.26478576660156,303.12701416015625,315.1358947753906,44.6641960144043
2023-10-06,175.9678497314453,136.7598114013672,313.708984375,322.9314270019531,45.73762130737305
2023-10-09,177.45498657226562,137.59478759765625,316.6229553222656,325.45758056640625,45.24888229370117
2023-10-10,176.86012268066406,137.2369384765625,320.0840148925781,324.0465087890625,45.77360534667969
2023-10-11,178.25802612304688,139.71209716796875,326.0313720703125,328.0231628417969,46.781070709228516
2023-10-12,179.1602020263672,138.1415252685547,322.391357421875,326.7798156738281,46.91999053955078
2023-10-13,177.31617736816406,136.54110717773438,312.9729919433594,323.395263671875,45.4367790222168
2023-10-16,177.18728637695312,138.270751953125,319.39776611328125,328.2402648925781,46.07044982910156
2023-10-17,175.63075256347656,138.88705444335938,322.2322082519531,327.6679382324219,43.91459274291992
2023-10-18,174.33197021484375,137.13754272460938,315.2405700683594,325.74371337890625,42.17352294921875
2023-10-19,173.95526123046875,136.92880249023438,311.1032409667969,326.9377136230469,42.078575134277344
2023-10-20,171.39739990234375,134.7916259765625,306.9659729003906,322.3492431640625,41.364952087402344
2023-10-23,171.516357421875,135.6862335205078,312.2967224121094,324.96417236328125,42.952110290527344
2023-10-24,171.95257568359375,137.98248291015625,310.84466552734375,326.1581726074219,43.639739990234375
2023-10-25,169.63265991210938,124.86116027832031,297.8957214355469,336.1640625,41.756744384765625
2023-10-26,165.45875549316406,121.55101776123047,286.7767639160156,323.5530700683594,40.30451965332031
2023-10-27,166.77735900878906,121.44166564941406,295.1109924316406,325.4476623535156,40.47842788696289
2023-10-30,168.82955932617188,123.718017578125,301.0086364746094,332.8484802246094,41.139076232910156
2023-10-31,169.30548095703125,123.34027862548828,299.6262512207031,333.63787841796875,40.758277893066406
2023-11-01,172.47804260253906,125.69615936279297,310.14849853515625,341.49261474609375,42.302459716796875
2023-11-02,176.0471649169922,126.7299575805664,309.1738586425781,343.712890625,43.48282241821289
2023-11-03,175.13504028320312,128.33035278320312,312.883544921875,348.1336364746094,44.98102569580078
2023-11-06,177.6929168701172,129.4735107421875,314.0769348144531,351.8143005371094,45.726627349853516
2023-11-07,180.26072692871094,130.18919372558594,317.0804748535156,355.7613830566406,45.930519104003906
2023-11-08,181.32151794433594,131.0540313720703,318.03521728515625,358.3960876464844,46.549190521240234
2023-11-09,180.84564208984375,129.46356201171875,318.801025390625,355.9192199707031,46.92498779296875
2023-11-10,185.0448760986328,131.79954528808594,326.9761657714844,364.78045654296875,48.30925369262695
2023-11-13,183.45651245117188,131.30252075195312,327.3939208984375,361.8299865722656,48.59410095214844
2023-11-14,186.07733154296875,132.8234100341797,334.4750061035156,365.3725280761719,49.62954330444336
2023-11-15,186.64317321777344,133.81744384765625,330.8946838378906,365.5208435058594,48.86195755004883
2023-11-16,188.3308563232422,136.11367797851562,332.3666076660156,371.94793701171875,49.453643798828125
2023-11-17,188.3109588623047,134.5033416748047,333.21197509765625,365.6988525390625,49.27174377441406
2023-11-20,190.05816650390625,135.43772888183594,338.1151123046875,373.2036437988281,50.382144927978516
2023-11-21,189.25405883789062,136.1534423828125,335.1413879394531,368.8827209472656,49.917396545410156
2023-11-22,189.91917419433594,137.66439819335938,339.62677001953125,373.60906982421875,48.69004440307617
2023-11-24,188.5889129638672,135.87510681152344,336.38458251953125,373.1937561035156,47.75054931640625
2023-11-27,188.4102325439453,135.59678649902344,332.8738098144531,374.3604736328125,48.216304779052734
2023-11-28,189.0157928466797,136.38206481933594,337.14044189453125,378.4046325683594,47.79552459716797
2023-11-29,187.99330139160156,134.1852569580078,330.387451171875,374.5978698730469,48.11436080932617
